ID,dataset,diversity,moral,market,innovation,ethnic_cultural,gender,sexual_ori,age,ability,religion,text
7270,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We're serving up our best tips on how to keep food fresh longer to save money and prevent waste. Learn more: http://bit.ly/2DT8TWS RISATORP Wire basket, white, $12.99"
7357,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Meet Marnix van der Velden from ING Nederland, who made it his mission to #green his old farmhouse home. Read more about what inspired him, how he tackled it and why he feels like he’s driving fuelled by sun in the final part of our #sustainability summer"
750,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,1931 | Scheduling | Blackboard | KLM since 1919
7522,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"""The product is not what differentiates you as a bank, it’s the experience""."
7543,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Project 'RISHTA' Tata Steel Family Initiative Foundation
7571,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"A little paint can go a long way. This loading dock in Ghent, Belgium has been transformed into a colorful meeting place for the local community, all part of our #HumanCities initiative alongside @Masterpeace. #LetsColour #WallsOfConnection"
7651,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"In 2012 we celebrated 100 years of vitamins. We can't wait to find out what the next hundred will bring... A video on the past, present and future of vitamins: http://vimeo.com/47876783::https://vimeo.com/47876783"
7879,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Hej IKEA fans! Due to inclement weather, IKEA Twin Cities will be closed tomorrow (2/24/19). We'll post any additional updates here. Stay safe and cozy!"
7932,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"He did it! Artist Sacha Jafri has officially set a new Guinness World Record for the largest art canvas in the world. 🏆 Using our Dulux paint products, it took him seven months (and over 1,000 brushes) to create the artwork, which measured more than 17,0"
7942,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"This adorable bedroom of two little sisters is full of great design and great ideas, pulled together on the tiniest of budgets. Who’s ready to hop inside?"
7949,4,Yes,No,No,No,No,No,No,No,Yes,No,💙Ensuring our workplaces are accessible to everyone 💙Using technology to enable skills 💙Creating adaptive products for people with disabilities 💙Inspiring bold action in advertising. Just some of the ways we are working to ensure that we are the No.1 
802,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Tag someone who's taken off before take-off 💤💤💤
8132,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Seven brand new products out today! Which one is your favourite? #GETGOING
8224,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Congratulations to Brazil’s Rubens Menin, MRV Engenharia who is named EY World Entrepreneur Of The Year 2018! Rubens is the first ever winner from South America and founded MRV, a homebuilder and real estate company, in 1979. In 2017, MRV recorded net ope"
8257,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Ever wondered what student rooms in Amsterdam look like? 🏠 In our newest photo series, ‘Gluren bij de Buren’, you’ll get a look at fellow UvA students’ real life rooms. And in case you’re wondering what ‘Gluren bij de Buren’ means – it’s a Dutch phrase f"
8434,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"#FeatherInTheCap Our Sukinda Chromite Mine was awarded the GEM Granites Environment Award, 2014-15, by Federation of Indian Mineral Industries"
8483,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,How can parents and guardians ensure their kids are being safe online and making smart decisions? https://social.kpmg/em6jq::https://home.kpmg/xx/en/home/insights/2019/10/get-cyber-safe.html?cidfb_soc_xx_cybermonth-acx_adv-cyber&utm_mediumsoc&utm_sourc
8501,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Tata Nano is one of the world’s most innovative cars built by our sister company, Tata Motors. Packing power in a tiny car proves the miracle, innovation can bring to a common man."
8645,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Help us find a new name for our web shop! http://shop.klm.com::https://shop.klm.com/ The 5 best ideas will receive a KLM gift set. Respond on our discussion board message at http://www.facebook.com/topic.php?uid273795515772&topic17444::https://www.fac
8922,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"A family of 16 in Poland 🇵🇱 is about to move into their home sweet home, just in time for Easter. The builder, Budimex, asked us for some help bringing this dream house to life, and we couldn’t wait. More than 300 liters of colorful paint from Dulux Pro"
9118,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"How do you realize the potential of ESG+ to accelerate value creation? With 100 days to go until COP26, a new study by EY sets out how an evolved approach to ESG+ will be crucial to building a fairer and more sustainable future. Read more: http://spr.ly/6"
9254,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We're honored to have won the Ethical Corporation Responsible Business Awards in the category Best Communication! Ethical Corporation’s Responsible Business Awards recognize genuine, truly innovative and meaningful approaches to making responsible busines"
9289,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Did you know that Schiphol has six runways? Five long runways for international air traffic, plus a short one which is mainly intended for general aviation, private jets and helicopters. Read all about it in our new blog. ✈️😉"
9356,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We are happy to announce the acquisition of specialty dairy solutions provider Royal CSK. With the acquisition of CSK, DSM will further strengthen its product portfolio, application know-how and expertise in food & beverage, in particular in the complemen"
947,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,There's a place called Kokomo.. 🎶💙
9562,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Which cookie will take the cake in our #IKEACookieContest? Vote for your favorite by December 21, 2015!"
9722,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hej IKEA fans! IKEA Jacksonville will be closed today (4/9/18). We apologize for the inconvenience!
976,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Most congested city in Europe? This year’s #TomTomTrafficIndex brings Moscow all the way to the top of the European ranking. How about your city? http://bit.ly/1My79xA::http://www.tomtom.com/en_gb/trafficindex/?utm_sourcefacebook&utm_mediumsocial&utm_c
5877,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Laundry rooms can get messy. Follow the IKEA Home Tour Squad's 5 tips for organization. http://bit.ly/2xVOWvQ::https://www.hometourseries.com/5-easy-laundry-room-storage-tips#open
3352,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Hey ICAO - International Civil Aviation Organization, to honour the end of our Fokker era, we found a pretty great alternative for 'Foxtrot' in your alphabet. What do you think? 🤔"
232,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,This is how an aircraft steers!
1205,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"As part of our new commitments to regenerate nature, we’re stepping up efforts to preserve water. Particularly in water-stressed markets like India, Brazil, South Africa, Vietnam and Indonesia. We’re also aiming to make our product formulations biodegrada"
1912,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,A KLM love story - It all began with a little inflight foot flirt…
9649,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Simplicity is the ultimate sophistication. This is how we innovate at ING...
8439,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"What's it like to work inside EY wavespace as part of the innovation accelerator team? We meet Samantha Shaffer, an EY product strategist who helps our clients with their biggest challenges and explore their innovation strategies or emerging technologies."
7542,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We’re delighted to welcome two world-leading #animalhealth and #animalnutrition specialty businesses to DSM as a result of our agreement to acquire ERBER Group. Biomin and Romer Labs will expand our range of solutions for improving farm productivity, #sus"
2590,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Hidden secrets of Shanghai, check it out on @KLM_localeyes!"
978,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Four birthdays, one King's Day and a world famous DJ! #OrangeExperience"
4685,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Here’s a win–win for people and the planet. Quix dishwashing liquid’s cleaning power comes from rhamnolipids, a natural ingredient discovered by Unilever R&D. Rhamnolipids help Quix tackle dirty pots even at cold temperatures and mean it biodegrades into "
4024,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Turning vision to reality by building India’s first integrated steel plant. #SirDorabTata
4190,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Measure muscle mass and body fat progress at all times with the #TomTomTouch.
9247,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Boskalis invites you to create new horizons together. As a leading global dredging and marine expert, we will be present at ADIPEC 2019 in Abu Dhabi again this year, showcasing innovative solutions for offshore energy ports, maritime and inland infrastruc"
9005,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,5th edition of Tata Group Community Football Tournament (TGCFT) witnessed spectacular finish with young talent showcasing their #Football #skills
4647,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"During World War I, Tata Steel supplied nearly 3,00,000 tonnes of steel for artillery, besides steel for 1,500 miles of railway lines for connectivity. These played a key role in the victory of the allied forces in Mesopotamia. Lord Chelmsford, the then-V"
8731,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,TRICK: Over 12.8 million pumpkins go to landfill every year in the UK alone. And 1 billion lb of pumpkin go to landfill in the US each year. 🎃 👻 TREAT: A delicious recipe to save pumpkins from landfill: Rustic Roasted Pumpkin Sandwich with Hellmann’s.
7911,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Need some help planning your dream kitchen? Hurry in to the IKEA Kitchen Event by November 24th for free kitchen planning, special offers and more!"
3741,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Care Orchestrator lets doctors track their sleep and respiratory patients in one simple system, making it fast and easy to access critical patient data and make informed clinical decisions."
2676,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,“You may suffer from stunted growth due to malnutrition” - http://bit.ly/DSM-OGA::http://www.dsm.com/corporate/sustainability/stakeholder-engagement/one-goal-campaign.html
7112,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Make your home a safer place for your children. Secure your furniture to the wall. See our home safety tips: https://bit.ly/3wOx7L2::https://www.ikea.com/us/en/campaigns/safer-homes-pub06b8249f?utm_sourcefacebook&utm_mediumsocial&utm_campaignsafer_hom
2424,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Love a bright dining space?
5643,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"The IKEA MUREN recliner is adjustable, so that you can choose three positions, from upright sitting to reclining. Now $229. Last year's price $299. http://bit.ly/2C8zoUs"
851,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Turn on, tune in and work out wirelessly to music this holiday season with the #TomTomSpark GPS watch"
899,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"'Mirror, mirror on the wall, who is the bluest of them all?'"
6337,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We are live ringing the NASDAQ closing bell with a few of our specially selected colleagues. Through our peer-based global award program, Better begins with you, we recognize and celebrate these colleagues who have found inspiring and impactful ways to co"
2472,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Slowly, we’re resuming more and more flights to European and intercontinental destinations. Curious where we currently fly to? Please check out our travel guide (and of course, remember to check destination-specific regulations):"
2850,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Time to vote: team window or team aisle? ✈️
6913,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"In this episode of 'On the Contrary' by India Development Review, T. V. Narendran, CEO & MD of Tata Steel in discussion with Bittu Sahgal, environmentalist & writer about the environment, economic growth & the trade-off between the two. Listen to the enti"
7334,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Hej IKEA fans! Our Customer Support Center, Social Customer Care team, and US store locations will be closing today (4/1/18) at 6:00 PM. We'll reopen in the morning (4/2/18) with normal business hours. We'll see you tomorrow!"
7962,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,We continue to drive long-term change in communities through EY's corporate social responsibility programs. Read more about how we are building a #BetterWorkingWorld in the EY Global Review: http://spr.ly/6186GtfgA::http://bit.ly/EYGlobalReview2020
5388,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"What do employees have to say about their experience working for KPMG? ""Great starting salary, great people, yearly training, great culture, good access to large companies, as well as a great learning experience."" Congratulations to our Global Chairman, J"
195,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Hej! Please accept our apology. Like many other businesses, we've been impacted by COVID-19 in many ways, and we're doing our best to support our co-workers while meeting the needs of our customers. With the increased volume of online orders and new safet"
8545,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Building a better world for children 👧👦 – sometimes it’s about having a safe place to call home. Sometimes it’s about opportunities that can change their future. Sometimes it’s a bit of both. As part of our partnership with SOS Children's Villages Inter
7786,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Thank you Myriam for highlighting the power of hand washing with soap! This simple habit can save over 600,000 lives every year- that’s why we’re committed to Lifebuoy's mission to #helpachildreach5."
6763,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Our Noamundi Iron Mine won the 'Most Innovative Environmental Project Award’ (Bio diversity category) in the 4th edition of CII Environmental Best Practices Award 2017.
5095,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Now that home is also a classroom, here's how to create a focus-friendly, organized space for kids of all ages. https://bit.ly/35xYz3r::https://www.ikea.com/us/en/rooms/childrens-room/gallery/?utm_sourcefacebook&utm_mediumsocial&utm_campaigntogether_a"
9491,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Watch how many questions our global head of Fintech Benoit Legrand can answer in 60 seconds! ING 💘 Fintechs
7073,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Happy #WorldOceansDay! Did you know KPMG in the Cayman Islands sponsors the Eco-driver's coral nursery program, where divers do restoration dives and coral planting to help ocean health? https://social.kpmg/eew3j::https://home.kpmg/xx/en/home/about/our-r"
6684,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"👀 Get a glimpse at your fellow UvA students’ real life rooms in our photo series, ‘Gluren bij de Buren’ (ENG: A peek inside your neighbour’s house). This week we visit Lot’s room. She’s from Ghent (Belgium) and is currently doing our Master’s programme i"
1898,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Pre(p)-AIR tips for a busy summer at Schiphol
578,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Vigorous exercise raises your air intake to up to 100 liters per minute. With more oxygen in your body, you can Samba for even longer."
6329,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Today is UNHCR, the UN Refugee Agency's 70th anniversary and we’re celebrating its committed efforts to protect and support refugees. Unilever is proud to partner with UNHCR, working together to serve displaced communities worldwide. We stand #WithRefugee"
2231,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Love is... exploring the world together ❤️
4009,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Scaling the tallest mountain in the world is no small feat. It requires exemplary fitness levels, rock-solid dedication and sheer will. On #MountEverestDay, here's a salute to the members of Tata Steel Adventure Foundation who've reached the top of the hi"
1009,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Create a backyard patio or update your balcony floor! #IKEAHomeTour Squad shows you how.
7176,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Next up this week we bring you the Neuschwanstein Castle. If you’d never considered Bavaria for a summer road trip, here’s your excuse! We’ll plan your routes and stops along the way, so you can sit back and pretend you’re royalty! #FindYourRoute #TomTomR"
3521,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We teamed up with British fashion designer Kit Neale to create SPRIDD, a limited edition collection inspired by music, available in stores in February 2017! Explore the new collection below, or stop by OPENHOUSE GALLERY in NYC until 7pm tonight to see it "
3347,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,LIVE from a stormy Schiphol
4120,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Roll from the kitchen right outside to your grill with a kitchen cart on wheels!
6462,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We've successfully completed a project for Siemens that involved UXO screening of over 1300 foundation pile locations. Our UXO screening technology is non-intrusive and didn’t interfere with site-levelling activities, allowing construction to stay on sche"
2815,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Summer nights & airport lights
9268,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We recently organised the ‘Tata Steel #MegaLeadership Walk’ at Jubilee Park, Jamshedpur"
4437,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Let a smile spread across your face with this incredible rendition of 'Sweet Caroline' because good times seem to be so close! The employees of Tata Steel UK paid tributes to the efforts of the NHS in a heartfelt and melodic way. Together we can overcome 
4996,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Two exceptional transport and installation projects requiring our unique expertise and specialized fleet! We will transport and install five floating wind turbines for the Kincardine floating wind farm off the Scottish coast and install bridge sections of
2131,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,A tribute to one of the oldest staff magazines.
7823,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Excelling our way towards sustainability. #SustainableFuture
1365,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Entertain without the clutter - or the cost!
5295,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Instagram favourite of this week - Study break idea: take a walk through the city centre 🍂🍃 and discover some of Amsterdam's most beautiful spots, like this one captured by Instagrammer @zacho_at_insta. Also want to be featured? Use #uva_amsterdam on IG"
248,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Spencer guides KLM’s passengers to their departure gate.
8376,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"How do images of war victims and refugees travel through media? What is their impact and how we interpret them? On 27 October, SPUI25 will host a lecture and discussion on the way these images are shared and how they shape public opinion about a conflict."
2961,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,7 tips to make flying with children a super experience for all involved!
2645,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Been thinking about finally updating your kitchen? Save 20% right now on our top-rated AKURUM kitchen system! (It won't be in stores for much longer!)
966,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,The Golden Hour is often defined as the first and last hour of sunlight in the day when the special quality of light yields particularly beautiful photographs.
5565,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Bloemetjes uit je telefoon? We vertellen in geuren en kleuren over onze nieuwe technologie: SoLTE (Scent over LTE). http://bit.ly/_SoLTE::https://www.tele2.nl/solte/?utm_sourcefacebook&utm_mediumsocial&ut%E2%80%8Bm_ter%E2%80%8Bmcommunity&utm_contents
7157,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Fabio Jakobsen has won the first stage in the BinckBank Tour. Relive the last kilometer and his glorious win in Bolsward.
2783,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Stop everything. You are going to #love this.. Forget #catvideos, 2015 is the year of the #Goat! Meet #Baaadass Bill!#TomTomBandit #TomTom"
6621,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Tata Basera, a synergy initiative led by Tata Steel with other Tata Group companies, aims to bring the best offers from the most trusted Tata brands to an Individual Home Builder. In FY 2019-20, this offer was up and running in 240 districts with 2,800+ d"
8722,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,The travel ban into the EU is naturally raising many questions. Please follow the updates on our live blog schiphol.nl/live::https://www.schiphol.nl/en/messages/coronavirus-update
5735,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"After 20 years on the DSM Managing Board and 13 years as CEO, Feike Sijbesma decided to step down as CEO and he will hand over the company’s leadership to his successors, Geraldine Matchett and Dimitri de Vreeze as Co-CEO’s in February and guide a smooth "
233,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We can't wait to wake up to spring mornings, in a bedroom inspired by the season!"
1104,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Full power bye tower!
9928,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Consumers crave normality but have new priorities as a result of the #COVID19 pandemic. Read our latest EY #FutureConsumerIndex for more. http://spr.ly/6189GT3Mt::https://www.ey.com/en_gl/consumer-products-retail/future-consumer-index-keep-up-changing-co
4481,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,We see a lot of questions about the continuation of map updates for old TomTom devices. Is your device affected? Most likely not. See our website for more info: http://bit.ly/2Ft6zV7
6979,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,#EmployeeWelfare: We celebrated #WorldYogaDay in Jamshedpur and Kolkata.
5514,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"“An idyllic house with stained-glass windows in the Portuguese hills awaits us. Soon we will be enjoying the peace and quiet, the wonderful weather and the beautiful nature.” Read the full story of this radiant couple on http://schipholstories.tumblr.com/"
4703,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"What a stunning views! On sunny days like this you have a beautiful view from the air of the North Sea and the activities that take place there, as evidenced by the various Boskalis ships that have recently been spotted, such as the trailing suction hoppe"
956,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Feed me!
7937,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,How do you teach an algorithm to think like an auditor? EY's Helix GL Anomaly Detector team is a Global Better begins with you winner - congratulations! They built an #AI application to strengthen the quality of our Assurance services. Learn more about th
3515,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Find the perfect place for clothes and accessories with Solve It in a Snap tips to organize a messy dresser! http://bit.ly/2DxTa1u::http://www.ikea.com/us/en/catalog/categories/departments/bedroom/tools/cost/roomset/Bedstorage_choice_20183_1/#FB
7516,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Our Greenfield project at #Kalinganagar achieved a major milestone on Sep 4 with production from the Coke Ovens
4991,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Another soft-focus image on your Facebook feed. Why? It'll all become clear tomorrow.
5309,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"📸 This great photo of an almost deserted Roetereiland Campus is taken by @mmorazz. Although it is a beautiful shot, we really long for a campus full of students and staff. What would be the first place you visit back on campus?"
369,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,The ambition to make a difference to millions. Helping connect two parts of a hustling city. We are proud to have played a part in building the engineering marvel that is the Bandra-Worli Sea Link. Our durable LRPC strands were used in its construction. S
2177,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Nuova destinazione! Cabin crew, prepare for pizza 🍕🇮🇹"
9806,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,In case you missed it: Nuon Solar Team wins Sasol Solar Challenge with a new world record! - bit.ly/nstSSC16
7383,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Have you seen the latest episode of Planet Earth II with David Attenborough? He’s really enthusiastic about the “supertrees” at Gardens by the Bay in Singapore, which are protected with our paint! You can read about them here. http://bit.ly/2gvCt6h"
5709,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Year 2020 has been a year of unprecedented crisis, however the festive season will surely usher in good times and bring joy in everyone's lives. While we gear up for these festivities, we cannot forget the constant threat we are surrounded with. The fight"
3223,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,How do we keep it cool on board!? 🍦
1378,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Unfortunately, strong winds are causing delays and cancellations today. Pilots are braving the fierce winds with deft manoeuvres."
7256,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,100 days till summer ☀️🚲! Who else is counting down⏰? Can’t wait? Here’s a taste of what summer days at our University Quarter in Amsterdam’s city centre are like🧡!
2084,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Faster than the speed of sound.
3762,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Who's ready to hit the runway? #weekendhaslanded
4474,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Feeling restless? Get a jump on your spring organizing. Explore our range of organization and storage solutions that can help you make the most out of every square foot of your home. #togetherathome https://bit.ly/3aOvJgW::https://www.ikea.com/us/en/camp
1632,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Make someone’s day, and yours, with a little act of kindness."
5171,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wish Jamshedpur FC all the very best! #JamKeKhelo
1629,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Where are you hopping to?
4371,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Tennis or Water Polo: would you burn more calories on average on the court or in the water?
8007,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"IKEA has teamed up with Tom Dixon to create the open-source platform for living: DELAKTIG. A seating series, and now bed too. DELAKTIG is designed for you to make it your own. Learn more: https://bit.ly/2XhqVdB"
8087,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,The adrenaline levels hit the roof as we flagged off the #BBSRHalfMarathon with smiles all around. A quick look at the race flag off.
4558,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Sow the seeds for an evergreen #TomorrowForEveryone with the click of a button. We at #TataSteel will plant a tree for every pledge you make! Click the link to pledge: https://bit.ly/2Ue0c1z::https://www.tatasteel.com/corporate/our-organisation/campaigns
8490,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Breakfast is the prettiest meal of the day. Serve it the way it deserves. IKEA 365+ Bowl, $2.99 http://bit.ly/304VVyd"
456,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,A blue airline with three letters?
3492,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"From all of us at Schiphol, even if it's from a distance: happy holidays!🎄"
923,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Warm weather is just around the corner. Explore IKEA outdoor inspiration, and get ready to enjoy sunny days and starry nights!"
368,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Treating heart disease is more efficient than ever with image guided therapies that are helping doctors to perform minimally invasive procedures...
9034,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Woven graphics and materials combined with soft colors add a feeling of airiness and lightness to your bedroom. VINTERJASMIN Full/queen duvet cover set, $19.99/3pcs http://bit.ly/348tscz"
5267,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Dreaming of an organized kitchen? IKEA prices let you dream big.
2439,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Really going for it this year, or keeping your decor simple?"
4935,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Tata Steel Jamshedpur Run-a-thon is a platform for the community and stakeholders to come together and celebrate fitness, health and overall well being. Watch the 10km race flag off live from Jamshedpur. Fitness is fun. Just run. #JSRRun"
214,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,How is your view today?
7351,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,#GreenSchool – Cultivation of rice along with breeding of fish in terrace fields is a smart economical practice adopted in the state of Arunachal Pradesh. #SustainableFuture
5031,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Wondering about studying in Holland? These 7685 frames will convince you. A tilt-shift video shot in Amsterdam, Rotterdam and Delft."
9581,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Relive all your amazing memories with your teachers and classmates! Complete the bingo and post it on your feed while tagging us and all your friends! #ReconnectWithTeachers #TataSteel #WeAlsoMakeTomorrow
2100,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"70 years ago, we said 'Shanghiiiiiiii' for the very first time! 👋"
4771,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Your sleep and wake cycles aren't always aligned with what the sun is doing and that’s where the Philips Wake-up Light can help. This week, look out for the solar eclipse across parts of the USA."
6011,4,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"It took one man and his dreams to make a change, to change the course of the destiny, to transform the barren sands into a thriving forest. Joining hands with Padma Shri Jadav Payeng - ‘The Forest Man of India’, we’re striving to raise awareness and encou"
